,Company_ID,guid,Employee_Size_Location,Primary_NAICS_Code
285,8768222,3031b6cf-e349-4d44-b0ca-3f283af75dea,4,72251503
286,1438780,47d5c5d0-4a41-424b-a673-58c207472ad9,5,44815001
287,13219810,66692c04-cbd7-4645-970f-f8c74c5a917b,5,54189002
288,1101479,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,1,42321003
289,10027487,6949e6b1-a078-4dfc-84e8-a4329e03858b,20,92112006
290,5504080,f278838d-0a00-44b0-824a-32240a0fd364,5,54121101
291,15296490,47d5c5d0-4a41-424b-a673-58c207472ad9,6,44229937
292,11615803,86e03389-26b7-4cc0-8a93-fbe77592752e,2,81211202
293,2082222,5c80d86d-6e3a-42a6-85ed-46a4a3f72b88,5,44529905
294,124561,217fa885-7703-43be-8128-eef5f0458307,10,72251117
295,1997192,b869173b-7921-4e11-82ff-6b3840c4a233,10,72251117
296,11728291,00773410-b137-4179-b4aa-57c8513ae387,2,52393002
297,6017104,96b37085-6a77-49a5-9318-5c8b20cd469e,1,81331908
298,14502710,3aaf8796-94f7-4a00-a908-5fca2e135065,10,53131111
299,125143,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,11,72251512
300,4011411,08de0e39-7c16-42fa-9bf2-433dc3e0f2b9,2,53112004
301,10016116,9ca03ef3-fe7d-4e87-bc10-4dd4591486cb,1,54121903
302,7494593,af03fc19-ac73-4ea5-9749-a933317cbc84,3,62132003
303,5504125,f278838d-0a00-44b0-824a-32240a0fd364,2,56173011
304,4863468,5c097cde-5dbd-4630-869b-f54e17732bff,10,53212016
305,124514,13afc9c1-433d-411c-8a9f-d35cd38729a3,4,72111002
306,14502715,e30c6646-6336-4840-a6ab-b24414b860d5,4,53111002
308,2356042,f278838d-0a00-44b0-824a-32240a0fd364,1,23821007
309,12585830,1fd8f6bc-a021-4b55-a3eb-34d7c83dd747,1,72119101
310,2700072,2d8d1665-2537-444e-93cf-9f109d3facb8,1,23816004
311,5504097,47d5c5d0-4a41-424b-a673-58c207472ad9,2,53112008
312,3794421,19c13cd0-1183-49a3-bee2-69fd29528e56,2,23822025
313,2098444,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,8,92216003
314,2082210,6d2093bf-c7d6-437b-8fcd-4a2d24618494,6,62211002
315,5349112,1a95cae6-4b8b-4293-aee8-16a6e99d69aa,15,31212002
317,909777,1b88ec43-3d63-4315-b182-c124b412386a,14,72251117
318,12805997,d77f0dca-697e-4fdc-8018-b9b2721d0ace,4,51711006
319,11461976,89731b7f-98ba-4b84-9198-4389b5ee8bb0,3,44529202
320,15103188,3031b6cf-e349-4d44-b0ca-3f283af75dea,4,44815025
321,125165,54028878-5d09-4e65-a171-b57c009de18d,60,61111007
322,5504096,86f1f519-0fe3-4830-92ff-7bd226bfe929,6,44411001
323,1269341,dacd3680-d9e2-41c2-a817-6d16204df86a,50,23891006
324,12385089,0f27e2b4-1a75-4036-b90b-868dae59fc7e,1,61169914
325,8974714,59f59640-f0c5-495e-b3ea-925d387937b3,30,51213101
326,6498437,276feca0-c3cd-4ca9-a4bb-168d8b03bbc2,2,72251117
327,124507,c20335bb-1e61-4c26-b33d-43b561c4bcbf,1,72111002
328,125130,046e76c1-258c-409c-a366-7a23cb88d93b,8,44131011
329,1101484,e496c9ef-1bc4-4331-8786-0730eb193f8f,20,72251117
330,3886959,ab87fcfc-5fd1-4ac9-bc79-d99af873c347,10,51213101
331,9554859,276feca0-c3cd-4ca9-a4bb-168d8b03bbc2,7,72251512
332,10959909,fdf7cbb1-d938-4ffd-beeb-58ef8cfce694,1,56173022
333,15600276,c42efed7-fd70-4b2e-9948-60167953eba9,3,44619106
334,2256741,f278838d-0a00-44b0-824a-32240a0fd364,2,23611816
335,7494601,6d2093bf-c7d6-437b-8fcd-4a2d24618494,3,62111107
336,14502689,93ca3bc3-5c09-45f6-95fc-755ace4e0b7d,4,72111002
337,15367206,8821da5e-52fa-490f-9a17-589bb1e26670,1,23822020
338,1594329,9a5f0c14-8caf-49b6-aec6-fcdb9a4a6d26,1,81391002
339,125139,d75e2a30-af04-4abd-bc8c-cd95e04f49f7,10,45111057
340,7494573,07dc9e64-2b50-4a35-8fbd-df55b712c02e,1,23831003
341,125141,e08d5db4-9473-4e8c-9a6e-5d6d248ff98f,6,44229936
343,5091293,d2cd2a34-6fec-4c23-b45c-3f0cc2da72be,3,81311008
344,3794449,95e7d1e9-1503-4a82-bd81-eced719f41ed,3,62412003
345,8974703,c42efed7-fd70-4b2e-9948-60167953eba9,6,45399832
347,2915511,cb9b11ec-950b-4b1f-8a41-f3f28fdf9de6,16,72111002
349,2256743,990353fd-0558-4c5c-a1ae-9e1a45c6d191,4,44611009
350,13218800,264e708a-7741-4914-b832-597a4e6494d4,5,72251512
351,125136,63eb15cd-588e-4cfc-b5b1-212ec6611a3f,41,61111007
352,125151,addaf622-eb40-437b-9956-ae4ec7106842,9,72111002
353,12505460,f278838d-0a00-44b0-824a-32240a0fd364,13,48511901
354,8768231,b9a04771-d6f1-4a6a-be0c-fddc38235e14,1,81111104
355,7929972,31b39bfa-1988-4f64-aab7-fc4d90ea5e7b,2,54111002
357,12392518,f464eb1f-cf63-4825-9180-21707f455e0a,3,44531004
358,7548588,e631b48f-29bf-4c8c-8a33-0ef0f86ba89e,1,62139923
361,5349113,742d8fa2-202d-4c73-8f38-d84718c2dcb4,2,45112020
362,2003414,c42efed7-fd70-4b2e-9948-60167953eba9,2,72251117
364,8302733,66b6f6a8-a064-47b7-ae5e-1a5814a11f82,32,92212003
365,1164792,56113026-3e3d-49e7-8e84-dfa7d285a09d,4,54192110
366,14502703,82114059-a900-43e0-9f8d-ff0adf1d647c,8,52211002
367,2054319,e631b48f-29bf-4c8c-8a33-0ef0f86ba89e,3,62111107
368,125164,dacd3680-d9e2-41c2-a817-6d16204df86a,15,42332030
369,2561924,264e708a-7741-4914-b832-597a4e6494d4,4,23835003
370,14865999,e631b48f-29bf-4c8c-8a33-0ef0f86ba89e,3,62111107
371,6600766,36b2ebb5-8083-4c1d-b27a-a920c017fbc3,2,54121101
372,1256552,d77f0dca-697e-4fdc-8018-b9b2721d0ace,25,72111002
373,12988151,6d2093bf-c7d6-437b-8fcd-4a2d24618494,3,62111107
374,8768211,f1a032c2-a429-4a8e-ba9d-0731c9ece83f,17,72251115
375,5334173,1651b3e0-0946-4fc1-99f7-b328d65424d0,2,23611512
